283,9;440;206,1;118,2;
227,3;264,7;186,5;160;
234,4;318,6;245,5;155,5;
173,7;411,3;224,5;122,5;
208,2;366,7;195,5;131,8;
244;250;224,4;158,7;
180,9;398,2;235,2;142,7;
208,1;345,3;251,2;139,1;
190,7;327,7;215,7;136,4;
185,2;306,1;212,5;141,6;
212,2;376,2;245,7;126,8;
218,5;256,5;235,5;173,8;
197,8;405;199,5;145,5;
225;394,9;189,7;160,9;
262,5;292,8;252,3;164,1;
195,7;361,2;204;143,7;
237,2;341,3;209,1;181,5;
263,4;371,4;233,3;128,9;
193;288,1;211,2;136,8;
291,3;301,5;246,4;140,3;
201,5;421,3;229,7;187,9;
227;355,6;249,8;160,8;
205;348,8;234,5;137,4;
175;327,7;215,6;163,1;
279,2;251,7;229,5;148,4;
234,7;289,2;217,7;137,6;
178,5;285;254,5;145,1;
192,2;329,9;252,9;168,1;
224,1;378,6;281,2;142,9;
246;338,1;220,1;132,9;
230,3;377,3;252;135,2;
207,4;370,1;254,6;275,3;
192,5;328,2;242,6;115,2;
297,1;313,8;238,8;132,3;
219,5;247,8;228,7;145,4;
301;303,8;225;156,3;
247,5;351,1;210,8;135,2;
193,1;275,4;180,8;144,1;
221;347,2;216,8;190,6;
215,9;344,1;237,9;155,9;
253,2;373,2;279,8;164,9;
300,1;355,9;203,3;133,5;
205,5;355,6;191,8;131,8;
214,5;337,9;208;103,3;
218,8;308,5;240,7;126,4;
204,5;359,8;209,8;155,2;
251,2;378,3;182,6;195,1;
207;305,9;198,5;113,7;
201,3;390,8;175,9;170,8;
170;399;230,5;149,3;
250,2;338,9;232,3;116,4;
243,6;323,8;277,5;150,7;
230;346,3;207,7;116,5;
195,4;280,6;207,8;133;
217,7;324,1;267;120,7;
278;320,8;251,1;105,4;
251;374;274,5;146,9;
223,9;366,3;267,6;140,9;
263,5;259,7;284,1;169,9;
195,1;345,9;260,3;177,9;
216,5;381,1;238,1;147,6;
217,7;314,7;249,8;150,2;
213,9;321,3;251,3;149,2;
195,9;286,1;231,9;132,5;
194,8;336,2;203,5;134;
225,2;463,7;214,5;146,8;
219,5;356,6;239,5;133;
175,6;315,1;270,5;158,6;
194,3;253,9;262,5;156,4;
227,4;300,2;263,7;210,5;
196,2;408;240;132,7;
230,2;354,9;229,3;123,1;
213;291,2;262,6;122,8;
197,3;328,8;289,6;113,1;
255,3;298,3;276,2;136,4;
208,5;365,1;240,3;182,2;
236,3;346,6;274,5;123,1;
219,2;312;239,4;126,7;
246,4;336,6;221,9;143,2;
301,4;403,5;243,6;180,5;
216,3;273,3;264,3;154,5;
223,2;345;235;115,2;
200;334,1;212,9;179,1;
228,6;347,2;204,1;135,6;
220,7;310,3;290,7;161;
213,1;370,8;178,4;126,8;
230,6;328,6;216,8;110,2;
210,2;364,7;209,7;141,5;
229,2;416,7;251,8;123,3;
185;358,5;258,5;163,6;
175,1;366,5;316,1;167,9;
200,7;395;195,5;164,6;
170,3;337,3;252;117,7;
260,5;320;207,9;117,1;
212,1;394,4;230;131,7;
200,9;290,7;255,9;158,1;
234,7;358,6;252,3;149,6;
356,5;324;231;168,8;
205,3;415,9;234,8;127;
215,5;319,5;264,3;171,2;
